396,187
388.72,179.72
377.63,161.24
396.08,157.55
405.51,154.41
422.31,161.13
418.81,140.17
425.42,130.25
406.68,149
393.57,171.94
397.01,158.16
380.07,141.22
383.39,127.95
393.16,121.44
413.74,138.59
426.34,125.99
419.83,119.47
442.56,129.21
426.93,126.09
433.4,100.21
446.54,113.35
432.67,123.75
455.94,117.11
469.78,124.03
483.48,127.45
500.64,106.86
473.94,103.04
481.17,84.96
484.37,97.77
490.96,101.06
480.76,104.46
477.44,117.73
467.53,144.17
495.95,119.3
474.11,116.18
456.96,123.1
453.3,134.07
472.21,137.22
496.04,144.03
505.64,137.62
502.03,162.85
505.18,156.56
527.75,153.34
504.38,133.3
501.14,155.94
525.45,135.11
515.25,114.72
498.15,111.3
517.91,108.01
492.14,133.77
501.84,127.31
515.31,130.68
518.47,149.65
538.71,153.02
545.71,174.02
552.23,164.24
526.83,145.19
533.58,168.82
524.22,162.57
507.73,142.79
511.12,132.62
521,155.67
514.45,136.02
530.51,123.17
544.21,116.32
537.47,119.69
547.8,99.03
534.59,105.64
521.31,102.32
524.51,86.32
521.38,89.46
518.12,92.71
491.07,72.43
500.77,85.36
494.02,88.73
507.87,85.27
511.19,88.59
508.07,66.75
511.28,44.29
507.92,40.93
511.1,44.12
495.25,31.43
478.93,37.96
482.11,53.85
488.55,60.28
485.11,56.85
505.9,53.38
502.43,67.29
481.48,42.85
494.74,39.54
491.59,33.24
481.94,55.75
488.64,69.14
510.88,72.32
526.64,78.62
529.89,65.61
509.38,69.03
512.56,65.84
522.33,75.61
515.53,79.01
490.99,71.99
